#Time(s) flow thruput(Mb/s)
0.63s 9 0
0.64s 0 0
0.64s 1 112.365
0.64s 2 64.8704
0.64s 3 17.376
0.64s 4 0
0.64s 5 0
0.64s 6 0
0.64s 7 0
0.64s 8 0
0.64s 9 0
0.65s 0 147.117
0.65s 1 211.987
0.65s 2 218.938
0.65s 3 99.6224
0.65s 4 78.7712
0.65s 5 0
0.65s 6 0
0.65s 7 0
0.65s 8 0
0.65s 9 0
0.66s 0 18.5344
0.66s 1 104.256
0.66s 2 72.9792
0.66s 3 38.2272
0.66s 4 56.7616
0.66s 5 9.2672
0.66s 6 0
0.66s 7 0
0.66s 8 0
0.66s 9 0
0.67s 0 487.686
0.67s 1 89.1968
0.67s 2 103.098
0.67s 3 137.85
0.67s 4 1.1584
0.67s 5 1.1584
0.67s 6 0
0.67s 7 0
0.67s 8 0
0.67s 9 0
0.68s 0 157.542
0.68s 1 122.79
0.68s 2 206.195
0.68s 3 54.4448
0.68s 4 0
0.68s 5 0
0.68s 6 0
0.68s 7 0
0.68s 8 0
0.68s 9 0
0.69s 0 1.1584
0.69s 1 0
0.69s 2 0
0.69s 3 48.6528
0.69s 4 3.4752
0.69s 5 12.7424
0.69s 6 375.322
0.69s 7 0
0.69s 8 0
0.69s 9 0
0.7s 0 98.464
0.7s 1 0
0.7s 2 0
0.7s 3 44.0192
0.7s 4 35.9104
0.7s 5 38.2272
0.7s 6 452.934
0.7s 7 0
0.7s 8 0
0.7s 9 0
0.71s 0 67.1872
0.71s 1 1.1584
0.71s 2 22.0096
0.71s 3 90.3552
0.71s 4 100.781
0.71s 5 25.4848
0.71s 6 310.451
0.71s 7 0
0.71s 8 0
0.71s 9 0
0.72s 0 227.046
0.72s 1 3.4752
0.72s 2 1.1584
0.72s 3 1.1584
0.72s 4 3.4752
0.72s 5 486.528
0.72s 6 38.2272
0.72s 7 0
0.72s 8 0
0.72s 9 0
0.73s 0 256.006
0.73s 1 34.752
0.73s 2 1.1584
0.73s 3 71.8208
0.73s 4 89.1968
0.73s 5 253.69
0.73s 6 180.71
0.73s 7 0
0.73s 8 0
0.73s 9 0
0.74s 0 28.96
0.74s 1 141.325
0.74s 2 0
0.74s 3 0
0.74s 4 25.4848
0.74s 5 169.126
0.74s 6 78.7712
0.74s 7 0
0.74s 8 0
0.74s 9 0
0.75s 0 252.531
0.75s 1 258.323
0.75s 2 52.128
0.75s 3 1.1584
0.75s 4 38.2272
0.75s 5 325.51
0.75s 6 1.1584
0.75s 7 0
0.75s 8 0
0.75s 9 0
0.76s 0 59.0784
0.76s 1 5.792
0.76s 2 5.792
0.76s 3 22.0096
0.76s 4 30.1184
0.76s 5 69.504
0.76s 6 0
0.76s 7 0
0.76s 8 0
0.76s 9 0
0.77s 0 106.573
0.77s 1 181.869
0.77s 2 116.998
0.77s 3 310.451
0.77s 4 1.1584
0.77s 5 79.9296
0.77s 6 35.9104
0.77s 7 0
0.77s 8 0
0.77s 9 0
0.78s 0 1.1584
0.78s 1 34.752
0.78s 2 45.1776
0.78s 3 9.2672
0.78s 4 0
0.78s 5 47.4944
0.78s 6 24.3264
0.78s 7 0
0.78s 8 0
0.78s 9 0
0.79s 0 76.4544
0.79s 1 174.918
0.79s 2 188.819
0.79s 3 145.958
0.79s 4 25.4848
0.79s 5 187.661
0.79s 6 49.8112
0.79s 7 61.3952
0.79s 8 0
0.79s 9 0
0.8s 0 186.502
0.8s 1 12.7424
0.8s 2 28.96
0.8s 3 27.8016
0.8s 4 0
0.8s 5 11.584
0.8s 6 31.2768
0.8s 7 54.4448
0.8s 8 0
0.8s 9 0
0.81s 0 187.661
0.81s 1 79.9296
0.81s 2 1.1584
0.81s 3 201.562
0.81s 4 42.8608
0.81s 5 45.1776
0.81s 6 126.266
0.81s 7 32.4352
0.81s 8 0
0.81s 9 0
0.82s 0 8.1088
0.82s 1 13.9008
0.82s 2 0
0.82s 3 3.4752
0.82s 4 17.376
0.82s 5 30.1184
0.82s 6 6.9504
0.82s 7 206.195
0.82s 8 0
0.82s 9 0
0.83s 0 59.0784
0.83s 1 34.752
0.83s 2 20.8512
0.83s 3 90.3552
0.83s 4 32.4352
0.83s 5 170.285
0.83s 6 94.9888
0.83s 7 96.1472
0.83s 8 0
0.83s 9 0
0.84s 0 269.907
0.84s 1 100.781
0.84s 2 1.1584
0.84s 3 49.8112
0.84s 4 83.4048
0.84s 5 1.1584
0.84s 6 30.1184
0.84s 7 174.918
0.84s 8 0
0.84s 9 0
0.85s 0 68.3456
0.85s 1 94.9888
0.85s 2 0
0.85s 3 107.731
0.85s 4 64.8704
0.85s 5 0
0.85s 6 50.9696
0.85s 7 46.336
0.85s 8 0
0.85s 9 0
0.86s 0 59.0784
0.86s 1 42.8608
0.86s 2 3.4752
0.86s 3 1.1584
0.86s 4 40.544
0.86s 5 3.4752
0.86s 6 123.949
0.86s 7 257.165
0.86s 8 0
0.86s 9 0
0.87s 0 34.752
0.87s 1 72.9792
0.87s 2 4.6336
0.87s 3 0
0.87s 4 30.1184
0.87s 5 4.6336
0.87s 6 35.9104
0.87s 7 62.5536
0.87s 8 0
0.87s 9 0
0.88s 0 121.632
0.88s 1 1.1584
0.88s 2 134.374
0.88s 3 5.792
0.88s 4 296.55
0.88s 5 44.0192
0.88s 6 83.4048
0.88s 7 52.128
0.88s 8 0
0.88s 9 0
0.89s 0 32.4352
0.89s 1 0
0.89s 2 27.8016
0.89s 3 13.9008
0.89s 4 82.2464
0.89s 5 12.7424
0.89s 6 53.2864
0.89s 7 30.1184
0.89s 8 0
0.89s 9 0
0.9s 0 41.7024
0.9s 1 0
0.9s 2 28.96
0.9s 3 6.9504
0.9s 4 32.4352
0.9s 5 53.2864
0.9s 6 107.731
0.9s 7 1.1584
0.9s 8 375.322
0.9s 9 0
0.91s 0 2.3168
0.91s 1 0
0.91s 2 1.1584
0.91s 3 1.1584
0.91s 4 128.582
0.91s 5 114.682
0.91s 6 3.4752
0.91s 7 0
0.91s 8 205.037
0.91s 9 0
0.92s 0 1.1584
0.92s 1 0
0.92s 2 0
0.92s 3 0
