#Time(s) flow thruput(Mb/s)
0.26s 4 954.368
0.26s 5 0
0.26s 6 0
0.26s 7 0
0.26s 8 0
0.26s 9 0
0.26s 10 0
0.26s 11 0
0.26s 12 0
0.26s 13 0
0.26s 14 0
0.26s 15 0
0.26s 16 0
0.26s 17 0
0.26s 18 0
0.26s 19 0
0.27s 0 952.73
0.27s 1 952.32
0.27s 2 952.32
0.27s 3 952.32
0.27s 4 952.32
0.27s 5 0
0.27s 6 0
0.27s 7 0
0.27s 8 0
0.27s 9 0
0.27s 10 0
0.27s 11 0
0.27s 12 0
0.27s 13 0
0.27s 14 0
0.27s 15 0
0.27s 16 0
0.27s 17 0
0.27s 18 0
0.27s 19 0
0.28s 0 953.139
0.28s 1 952.32
0.28s 2 953.958
0.28s 3 951.91
0.28s 4 952.32
0.28s 5 1305.4
0.28s 6 0
0.28s 7 0
0.28s 8 0
0.28s 9 0
0.28s 10 0
0.28s 11 0
0.28s 12 0
0.28s 13 0
0.28s 14 0
0.28s 15 0
0.28s 16 0
0.28s 17 0
0.28s 18 0
0.28s 19 0
0.29s 0 951.91
0.29s 1 953.139
0.29s 2 952.32
0.29s 3 956.826
0.29s 4 953.549
0.29s 5 963.789
0.29s 6 0
0.29s 7 0
0.29s 8 0
0.29s 9 0
0.29s 10 0
0.29s 11 0
0.29s 12 0
0.29s 13 0
0.29s 14 0
0.29s 15 0
0.29s 16 0
0.29s 17 0
0.29s 18 0
0.29s 19 0
0.3s 0 953.139
0.3s 1 951.91
0.3s 2 952.32
0.3s 3 958.054
0.3s 4 951.91
0.3s 5 956.826
0.3s 6 0
0.3s 7 0
0.3s 8 0
0.3s 9 0
0.3s 10 0
0.3s 11 0
0.3s 12 0
0.3s 13 0
0.3s 14 0
0.3s 15 0
0.3s 16 0
0.3s 17 0
0.3s 18 0
0.3s 19 0
0.31s 0 953.139
0.31s 1 953.139
0.31s 2 952.32
0.31s 3 953.958
0.31s 4 952.32
0.31s 5 953.549
0.31s 6 0
0.31s 7 0
0.31s 8 0
0.31s 9 0
0.31s 10 0
0.31s 11 0
0.31s 12 0
0.31s 13 0
0.31s 14 0
0.31s 15 0
0.31s 16 0
0.31s 17 0
0.31s 18 0
0.31s 19 0
0.32s 0 951.501
0.32s 1 953.139
0.32s 2 953.549
0.32s 3 952.32
0.32s 4 954.368
0.32s 5 952.32
0.32s 6 0
0.32s 7 0
0.32s 8 0
0.32s 9 0
0.32s 10 0
0.32s 11 0
0.32s 12 0
0.32s 13 0
0.32s 14 0
0.32s 15 0
0.32s 16 0
0.32s 17 0
0.32s 18 0
0.32s 19 0
0.33s 0 953.958
0.33s 1 953.139
0.33s 2 952.32
0.33s 3 952.32
0.33s 4 952.32
0.33s 5 951.91
0.33s 6 0
0.33s 7 0
0.33s 8 0
0.33s 9 0
0.33s 10 0
0.33s 11 0
0.33s 12 0
0.33s 13 0
0.33s 14 0
0.33s 15 0
0.33s 16 0
0.33s 17 0
0.33s 18 0
0.33s 19 0
0.34s 0 953.139
0.34s 1 953.139
0.34s 2 953.139
0.34s 3 953.549
0.34s 4 952.32
0.34s 5 952.32
0.34s 6 1787.49
0.34s 7 0
0.34s 8 0
0.34s 9 0
0.34s 10 0
0.34s 11 0
0.34s 12 0
0.34s 13 0
0.34s 14 0
0.34s 15 0
0.34s 16 0
0.34s 17 0
0.34s 18 0
0.34s 19 0
0.35s 0 951.091
0.35s 1 953.139
0.35s 2 953.139
0.35s 3 952.32
0.35s 4 962.15
0.35s 5 954.368
0.35s 6 961.741
0.35s 7 0
0.35s 8 0
0.35s 9 0
0.35s 10 0
0.35s 11 0
0.35s 12 0
0.35s 13 0
0.35s 14 0
0.35s 15 0
0.35s 16 0
0.35s 17 0
0.35s 18 0
0.35s 19 0
0.36s 0 953.958
0.36s 1 953.139
0.36s 2 953.139
0.36s 3 952.32
0.36s 4 952.32
0.36s 5 952.32
0.36s 6 952.32
0.36s 7 0
0.36s 8 0
0.36s 9 0
0.36s 10 0
0.36s 11 0
0.36s 12 0
0.36s 13 0
0.36s 14 0
0.36s 15 0
0.36s 16 0
0.36s 17 0
0.36s 18 0
0.36s 19 0
0.37s 0 953.139
0.37s 1 952.32
0.37s 2 951.091
0.37s 3 953.958
0.37s 4 953.549
0.37s 5 953.549
0.37s 6 952.32
0.37s 7 0
0.37s 8 0
0.37s 9 0
0.37s 10 0
0.37s 11 0
0.37s 12 0
0.37s 13 0
0.37s 14 0
0.37s 15 0
0.37s 16 0
0.37s 17 0
0.37s 18 0
0.37s 19 0
0.38s 0 953.139
0.38s 1 952.73
0.38s 2 954.778
0.38s 3 952.32
0.38s 4 952.32
0.38s 5 952.32
0.38s 6 954.368
0.38s 7 0
0.38s 8 0
0.38s 9 0
0.38s 10 0
0.38s 11 0
0.38s 12 0
0.38s 13 0
0.38s 14 0
0.38s 15 0
0.38s 16 0
0.38s 17 0
0.38s 18 0
0.38s 19 0
0.39s 0 952.32
0.39s 1 953.549
0.39s 2 951.501
0.39s 3 952.32
0.39s 4 953.958
